gene_id	gene_name	gene_type	Chr	Strand
ENSG00000230415.2	LINC01786	lncRNA	chr1	+
ENSG00000162572.21	SCNN1D	protein_coding	chr1	+
ENSG00000131584.19	ACAP3	protein_coding	chr1	-
ENSG00000278073.1	MIR6726	miRNA	chr1	-
ENSG00000169972.13	PUSL1	protein_coding	chr1	+
ENSG00000127054.22	INTS11	protein_coding	chr1	-
ENSG00000283712.1	MIR6727	miRNA	chr1	-
ENSG00000240731.1	ENSG00000240731	lncRNA	chr1	-
ENSG00000224051.7	CPTP	protein_coding	chr1	+
ENSG00000169962.5	TAS1R3	protein_coding	chr1	+
ENSG00000107404.21	DVL1	protein_coding	chr1	-
ENSG00000284372.1	MIR6808	miRNA	chr1	-
ENSG00000304860.1	ENSG00000304860	lncRNA	chr1	+
ENSG00000162576.17	MXRA8	protein_coding	chr1	-
ENSG00000175756.14	AURKAIP1	protein_coding	chr1	-
ENSG00000223663.2	NDUFB4P8	processed_pseudogene	chr1	+
ENSG00000221978.13	CCNL2	protein_coding	chr1	-
ENSG00000224870.10	MRPL20-AS1	lncRNA	chr1	+
ENSG00000242485.6	MRPL20	protein_coding	chr1	-
ENSG00000264293.2	RN7SL657P	misc_RNA	chr1	-
ENSG00000301639.1	ENSG00000301639	lncRNA	chr1	+
ENSG00000272455.1	MRPL20-DT	lncRNA	chr1	+
ENSG00000235098.9	ANKRD65	protein_coding	chr1	-
ENSG00000225905.2	ANKRD65-AS1	lncRNA	chr1	+
ENSG00000205116.4	TMEM88B	protein_coding	chr1	+
ENSG00000225285.2	LINC01770	lncRNA	chr1	-
ENSG00000179403.12	VWA1	protein_coding	chr1	+
ENSG00000215915.10	ATAD3C	protein_coding	chr1	+
ENSG00000160072.20	ATAD3B	protein_coding	chr1	+
ENSG00000290916.2	ENSG00000290916	lncRNA	chr1	+
ENSG00000284740.3	ENSG00000284740	transcribed_unprocessed_pseudogene	chr1	+
ENSG00000197785.14	ATAD3A	protein_coding	chr1	+
ENSG00000205090.10	TMEM240	protein_coding	chr1	-
ENSG00000299413.1	ENSG00000299413	lncRNA	chr1	+
ENSG00000160075.12	SSU72	protein_coding	chr1	-
ENSG00000215014.5	SSU72-AS1	lncRNA	chr1	+
ENSG00000274481.1	ENSG00000274481	processed_pseudogene	chr1	-
ENSG00000228594.4	FNDC10	protein_coding	chr1	-
ENSG00000286989.2	ENSG00000286989	lncRNA	chr1	+
ENSG00000272106.1	ENSG00000272106	lncRNA	chr1	-
ENSG00000197530.13	MIB2	protein_coding	chr1	+
ENSG00000189409.14	MMP23B	protein_coding	chr1	+
ENSG00000248333.9	CDK11B	protein_coding	chr1	-
ENSG00000272004.2	ENSG00000272004	lncRNA	chr1	+
ENSG00000189339.12	SLC35E2B	protein_coding	chr1	-
ENSG00000293187.1	ENSG00000293187	lncRNA	chr1	+
ENSG00000269737.3	ENSG00000269737	transcribed_processed_pseudogene	chr1	+
ENSG00000310190.1	ENSG00000310190	lncRNA	chr1	+
ENSG00000310238.1	ENSG00000310238	lncRNA	chr1	-
ENSG00000215914.4	MMP23A	transcribed_unprocessed_pseudogene	chr1	+
ENSG00000008128.23	CDK11A	protein_coding	chr1	-
ENSG00000268575.1	ENSG00000268575	lncRNA	chr1	-
ENSG00000293188.2	ENSG00000293188	lncRNA	chr1	+
ENSG00000290854.2	ENSG00000290854	lncRNA	chr1	-
ENSG00000215790.9	SLC35E2A	transcribed_unprocessed_pseudogene	chr1	-
ENSG00000227775.4	ENSG00000227775	transcribed_processed_pseudogene	chr1	+
ENSG00000008130.15	NADK	protein_coding	chr1	-
ENSG00000302550.1	ENSG00000302550	lncRNA	chr1	+
ENSG00000078369.19	GNB1	protein_coding	chr1	-
ENSG00000231050.4	GNB1-DT	lncRNA	chr1	+
ENSG00000303984.1	ENSG00000303984	lncRNA	chr1	-
ENSG00000294910.1	ENSG00000294910	lncRNA	chr1	-
ENSG00000306476.1	ENSG00000306476	lncRNA	chr1	+
ENSG00000169885.10	CALML6	protein_coding	chr1	+
ENSG00000178821.13	TMEM52	protein_coding	chr1	-
ENSG00000142609.20	CFAP74	protein_coding	chr1	-
ENSG00000233542.3	ENSG00000233542	lncRNA	chr1	-
ENSG00000187730.9	GABRD	protein_coding	chr1	+
ENSG00000304958.1	ENSG00000304958	lncRNA	chr1	-
ENSG00000226969.2	PRKCZ-DT	lncRNA	chr1	-
ENSG00000067606.17	PRKCZ	protein_coding	chr1	+
ENSG00000308181.1	ENSG00000308181	lncRNA	chr1	-
ENSG00000271806.1	ENSG00000271806	lncRNA	chr1	-
ENSG00000182873.5	PRKCZ-AS1	lncRNA	chr1	-
ENSG00000162585.17	FAAP20	protein_coding	chr1	-
ENSG00000304038.1	ENSG00000304038	lncRNA	chr1	+
ENSG00000234396.3	ENSG00000234396	lncRNA	chr1	+
ENSG00000304143.1	ENSG00000304143	lncRNA	chr1	-
ENSG00000157933.11	SKI	protein_coding	chr1	+
ENSG00000295493.1	ENSG00000295493	lncRNA	chr1	-
ENSG00000287356.2	ENSG00000287356	lncRNA	chr1	+
ENSG00000116151.14	MORN1	protein_coding	chr1	-
ENSG00000272161.1	ENSG00000272161	lncRNA	chr1	-
ENSG00000292993.1	ENSG00000292993	lncRNA	chr1	-
ENSG00000269896.3	ENSG00000269896	transcribed_processed_pseudogene	chr1	-
ENSG00000272420.1	ENSG00000272420	lncRNA	chr1	-
ENSG00000295371.1	ENSG00000295371	lncRNA	chr1	+
ENSG00000157916.20	RER1	protein_coding	chr1	+
ENSG00000157911.11	PEX10	protein_coding	chr1	-
ENSG00000149527.18	PLCH2	protein_coding	chr1	+
ENSG00000224387.1	ENSG00000224387	lncRNA	chr1	-
ENSG00000229393.1	ENSG00000229393	lncRNA	chr1	-
ENSG00000157881.16	PANK4	protein_coding	chr1	-
ENSG00000197921.6	HES5	protein_coding	chr1	-
ENSG00000272449.4	ENSG00000272449	lncRNA	chr1	+
ENSG00000238164.7	TNFRSF14-AS1	lncRNA	chr1	-
ENSG00000307979.1	ENSG00000307979	lncRNA	chr1	+
ENSG00000157873.18	TNFRSF14	protein_coding	chr1	+
ENSG00000225931.3	ENSG00000225931	TEC	chr1	+
ENSG00000307958.1	ENSG00000307958	lncRNA	chr1	-
ENSG00000228037.2	ENSG00000228037	lncRNA	chr1	+
ENSG00000289610.3	ENSG00000289610	lncRNA	chr1	+
ENSG00000157870.17	PRXL2B	protein_coding	chr1	+
ENSG00000142606.16	MMEL1	protein_coding	chr1	-
ENSG00000237058.2	MMEL1-AS1	lncRNA	chr1	+
ENSG00000215912.13	TTC34	protein_coding	chr1	-
ENSG00000285945.1	ENSG00000285945	lncRNA	chr1	+
ENSG00000283259.1	ENSG00000283259	lncRNA	chr1	+
ENSG00000233234.1	ENSG00000233234	lncRNA	chr1	-
ENSG00000287396.2	ENSG00000287396	lncRNA	chr1	+
ENSG00000231630.1	ENSG00000231630	lncRNA	chr1	-
ENSG00000302855.1	ENSG00000302855	lncRNA	chr1	+
ENSG00000295089.1	ENSG00000295089	lncRNA	chr1	-
ENSG00000300015.1	ENSG00000300015	lncRNA	chr1	-
ENSG00000284745.2	ENSG00000284745	lncRNA	chr1	-
ENSG00000169717.7	ACTRT2	protein_coding	chr1	+
ENSG00000177133.15	PRDM16-DT	lncRNA	chr1	-
ENSG00000142611.17	PRDM16	protein_coding	chr1	+
ENSG00000283572.1	MIR4251	miRNA	chr1	+
ENSG00000226286.1	ENSG00000226286	lncRNA	chr1	-
ENSG00000306427.1	ENSG00000306427	lncRNA	chr1	-
ENSG00000279839.1	ENSG00000279839	TEC	chr1	+
ENSG00000306439.1	ENSG00000306439	lncRNA	chr1	-
ENSG00000272235.1	ENSG00000272235	lncRNA	chr1	-
ENSG00000287828.2	ENSG00000287828	lncRNA	chr1	-
ENSG00000286518.1	ENSG00000286518	lncRNA	chr1	-
ENSG00000295754.1	ENSG00000295754	lncRNA	chr1	-
ENSG00000297626.1	ENSG00000297626	lncRNA	chr1	-
ENSG00000130762.15	ARHGEF16	protein_coding	chr1	+
ENSG00000272088.1	ENSG00000272088	lncRNA	chr1	+
ENSG00000162591.17	MEGF6	protein_coding	chr1	-
ENSG00000207776.1	MIR551A	miRNA	chr1	-
ENSG00000309127.1	ENSG00000309127	lncRNA	chr1	+
ENSG00000238260.4	ENSG00000238260	lncRNA	chr1	-
ENSG00000158109.15	TPRG1L	protein_coding	chr1	+
ENSG00000116213.16	WRAP73	protein_coding	chr1	-
ENSG00000078900.16	TP73	protein_coding	chr1	+
ENSG00000227589.1	TP73-AS3	lncRNA	chr1	-
ENSG00000235131.1	TP73-AS2	lncRNA	chr1	-
ENSG00000293478.2	GFOD3P	lncRNA	chr1	-
ENSG00000276189.1	ENSG00000276189	misc_RNA	chr1	+
ENSG00000227372.13	GFOD3P	transcribed_unitary_pseudogene	chr1	-
ENSG00000162592.10	CCDC27	protein_coding	chr1	+
ENSG00000296834.1	ENSG00000296834	lncRNA	chr1	-
ENSG00000235169.11	SMIM1	protein_coding	chr1	+
ENSG00000130764.10	LRRC47	protein_coding	chr1	-
ENSG00000266075.2	RN7SL574P	misc_RNA	chr1	+
ENSG00000272153.1	ENSG00000272153	lncRNA	chr1	+
ENSG00000116198.14	CEP104	protein_coding	chr1	-
ENSG00000169598.17	DFFB	protein_coding	chr1	+
ENSG00000198912.12	C1orf174	protein_coding	chr1	-
ENSG00000236423.9	LINC01134	lncRNA	chr1	+
ENSG00000233304.8	LINC01346	lncRNA	chr1	+
ENSG00000226374.4	LINC01345	lncRNA	chr1	-
ENSG00000284668.3	LINC02780	lncRNA	chr1	+
ENSG00000284703.2	ENSG00000284703	lncRNA	chr1	-
ENSG00000296871.1	ENSG00000296871	lncRNA	chr1	-
ENSG00000308587.1	ENSG00000308587	lncRNA	chr1	-
ENSG00000229280.1	EEF1DP6	processed_pseudogene	chr1	-
ENSG00000301255.1	ENSG00000301255	lncRNA	chr1	-
ENSG00000299169.1	ENSG00000299169	lncRNA	chr1	-
ENSG00000302287.1	ENSG00000302287	lncRNA	chr1	-
ENSG00000235054.5	LINC01777	lncRNA	chr1	+
ENSG00000306535.1	ENSG00000306535	lncRNA	chr1	-
ENSG00000284694.1	ENSG00000284694	lncRNA	chr1	-
ENSG00000299517.1	ENSG00000299517	lncRNA	chr1	-
ENSG00000227169.2	ENSG00000227169	lncRNA	chr1	-
ENSG00000295490.1	ENSG00000295490	lncRNA	chr1	-
ENSG00000232596.3	LINC01646	lncRNA	chr1	+
ENSG00000300565.1	ENSG00000300565	lncRNA	chr1	+
ENSG00000303830.1	ENSG00000303830	lncRNA	chr1	-
ENSG00000196581.11	AJAP1	protein_coding	chr1	+
ENSG00000287586.1	ENSG00000287586	lncRNA	chr1	-
ENSG00000284739.2	ENSG00000284739	lncRNA	chr1	-
ENSG00000284674.1	LINC02781	lncRNA	chr1	+
ENSG00000309102.1	ENSG00000309102	lncRNA	chr1	-
ENSG00000309111.1	ENSG00000309111	lncRNA	chr1	+
ENSG00000231510.1	LINC02782	lncRNA	chr1	-
ENSG00000296716.1	ENSG00000296716	lncRNA	chr1	-
ENSG00000302269.1	ENSG00000302269	lncRNA	chr1	-
ENSG00000306645.1	ENSG00000306645	lncRNA	chr1	-
ENSG00000284616.1	ENSG00000284616	lncRNA	chr1	-
ENSG00000302445.1	ENSG00000302445	lncRNA	chr1	-
ENSG00000302452.1	ENSG00000302452	lncRNA	chr1	+
ENSG00000295735.1	ENSG00000295735	lncRNA	chr1	-
ENSG00000284692.3	ENSG00000284692	lncRNA	chr1	-
ENSG00000284666.1	ENSG00000284666	lncRNA	chr1	-
ENSG00000260972.1	ENSG00000260972	lncRNA	chr1	+
ENSG00000299325.1	ENSG00000299325	lncRNA	chr1	-
ENSG00000283356.1	ENSG00000283356	unprocessed_pseudogene	chr1	+
ENSG00000289893.2	ENSG00000289893	lncRNA	chr1	-
ENSG00000264341.1	ENSG00000264341	miRNA	chr1	+
ENSG00000295108.1	ENSG00000295108	lncRNA	chr1	+
ENSG00000295122.1	ENSG00000295122	lncRNA	chr1	-
ENSG00000298180.1	ENSG00000298180	lncRNA	chr1	+
ENSG00000264101.1	MIR4689	miRNA	chr1	-
ENSG00000131697.18	NPHP4	protein_coding	chr1	-
ENSG00000299539.1	ENSG00000299539	lncRNA	chr1	+
ENSG00000069424.16	KCNAB2	protein_coding	chr1	+
ENSG00000116254.18	CHD5	protein_coding	chr1	-
ENSG00000285629.1	ENSG00000285629	protein_coding	chr1	-
ENSG00000116251.11	RPL22	protein_coding	chr1	-
ENSG00000226944.2	RNF207-AS1	lncRNA	chr1	-
ENSG00000158286.13	RNF207	protein_coding	chr1	+
ENSG00000116237.16	ICMT	protein_coding	chr1	-
ENSG00000225077.4	ICMT-DT	lncRNA	chr1	+
ENSG00000173673.9	HES3	protein_coding	chr1	+
ENSG00000158292.7	GPR153	protein_coding	chr1	-
ENSG00000097021.21	ACOT7	protein_coding	chr1	-
ENSG00000271746.1	ENSG00000271746	lncRNA	chr1	+
ENSG00000069812.11	HES2	protein_coding	chr1	-
ENSG00000187017.18	ESPN	protein_coding	chr1	+
ENSG00000265392.1	MIR4252	miRNA	chr1	-
ENSG00000231868.1	ENSG00000231868	lncRNA	chr1	-
ENSG00000215788.11	TNFRSF25	protein_coding	chr1	-
ENSG00000171680.23	PLEKHG5	protein_coding	chr1	-
ENSG00000297749.1	ENSG00000297749	lncRNA	chr1	+
ENSG00000299237.1	ENSG00000299237	lncRNA	chr1	+
ENSG00000299253.1	ENSG00000299253	lncRNA	chr1	+
ENSG00000162408.11	NOL9	protein_coding	chr1	-
ENSG00000253022.1	RNU6-731P	snRNA	chr1	+
ENSG00000229519.2	ENSG00000229519	processed_pseudogene	chr1	+
ENSG00000173662.21	TAS1R1	protein_coding	chr1	+
ENSG00000204859.13	ZBTB48	protein_coding	chr1	+
ENSG00000162413.17	KLHL21	protein_coding	chr1	-
ENSG00000295286.1	ENSG00000295286	lncRNA	chr1	+
ENSG00000304810.1	ENSG00000304810	lncRNA	chr1	-
ENSG00000116273.6	PHF13	protein_coding	chr1	+
ENSG00000041988.16	THAP3	protein_coding	chr1	+
ENSG00000007923.17	DNAJC11	protein_coding	chr1	-
ENSG00000228750.8	LINC01672	lncRNA	chr1	+
ENSG00000284744.1	ENSG00000284744	lncRNA	chr1	+
ENSG00000237436.2	CAMTA1-DT	lncRNA	chr1	-
ENSG00000171735.21	CAMTA1	protein_coding	chr1	+
ENSG00000227950.1	ENSG00000227950	processed_pseudogene	chr1	-
ENSG00000237365.1	CAMTA1-AS3	lncRNA	chr1	-
ENSG00000207056.1	RNU1-8P	snRNA	chr1	+
ENSG00000310450.1	ENSG00000310450	lncRNA	chr1	-
ENSG00000237402.2	CAMTA1-IT1	lncRNA	chr1	+
ENSG00000237728.3	CAMTA1-AS2	lncRNA	chr1	-
ENSG00000294314.1	ENSG00000294314	lncRNA	chr1	+
ENSG00000225126.2	CAMTA1-AS1	lncRNA	chr1	-
ENSG00000298973.1	ENSG00000298973	lncRNA	chr1	-
ENSG00000306883.1	ENSG00000306883	lncRNA	chr1	-
ENSG00000302704.1	ENSG00000302704	lncRNA	chr1	+
ENSG00000270171.1	ENSG00000270171	lncRNA	chr1	-
ENSG00000270035.1	ENSG00000270035	lncRNA	chr1	-
ENSG00000269978.2	ENSG00000269978	lncRNA	chr1	-
ENSG00000300603.1	ENSG00000300603	lncRNA	chr1	-
ENSG00000049245.13	VAMP3	protein_coding	chr1	+
ENSG00000269925.1	ENSG00000269925	lncRNA	chr1	+
ENSG00000049246.15	PER3	protein_coding	chr1	+
ENSG00000236266.2	ENSG00000236266	lncRNA	chr1	-
ENSG00000049247.14	UTS2	protein_coding	chr1	-
ENSG00000302605.1	ENSG00000302605	lncRNA	chr1	-
ENSG00000049249.10	TNFRSF9	protein_coding	chr1	-
ENSG00000270330.1	ENSG00000270330	processed_pseudogene	chr1	+
ENSG00000116288.13	PARK7	protein_coding	chr1	+
ENSG00000299004.1	ENSG00000299004	lncRNA	chr1	-
ENSG00000200344.1	Y_RNA	misc_RNA	chr1	-
ENSG00000284747.1	ENSG00000284747	lncRNA	chr1	+
ENSG00000284716.1	ENSG00000284716	lncRNA	chr1	-
ENSG00000116285.13	ERRFI1	protein_coding	chr1	-
ENSG00000238290.2	ERRFI1-DT	lncRNA	chr1	+
ENSG00000232848.1	RPL7AP18	processed_pseudogene	chr1	-
ENSG00000301325.1	ENSG00000301325	lncRNA	chr1	-
ENSG00000227634.4	LINC01714	lncRNA	chr1	+
ENSG00000229305.1	ENSG00000229305	processed_pseudogene	chr1	+
ENSG00000301344.1	ENSG00000301344	lncRNA	chr1	-
ENSG00000200975.1	RNU1-7P	snRNA	chr1	-
ENSG00000233645.1	ENSG00000233645	lncRNA	chr1	-
ENSG00000298156.1	ENSG00000298156	lncRNA	chr1	+
ENSG00000301025.1	ENSG00000301025	lncRNA	chr1	-
ENSG00000301006.1	ENSG00000301006	lncRNA	chr1	+
ENSG00000251977.1	RNU6-991P	snRNA	chr1	-
ENSG00000162426.16	SLC45A1	protein_coding	chr1	+
ENSG00000252254.1	Y_RNA	misc_RNA	chr1	+
ENSG00000142599.20	RERE	protein_coding	chr1	-
ENSG00000232912.6	RERE-AS1	lncRNA	chr1	+
ENSG00000221083.1	ENSG00000221083	snoRNA	chr1	-
ENSG00000270282.1	ENSG00000270282	processed_pseudogene	chr1	+
ENSG00000234619.1	RPL7P11	processed_pseudogene	chr1	+
ENSG00000224315.2	RPL7P7	processed_pseudogene	chr1	-
ENSG00000303676.1	ENSG00000303676	lncRNA	chr1	+
ENSG00000222511.2	Y_RNA	misc_RNA	chr1	-
ENSG00000226545.1	ENSG00000226545	unprocessed_pseudogene	chr1	+
ENSG00000228423.2	ENSG00000228423	lncRNA	chr1	-
ENSG00000229716.2	RPL23AP19	processed_pseudogene	chr1	+
ENSG00000074800.16	ENO1	protein_coding	chr1	-
ENSG00000274258.1	MIR6728	miRNA	chr1	-
ENSG00000230679.2	ENO1-AS1	lncRNA	chr1	+
ENSG00000201725.1	RNU6-304P	snRNA	chr1	-
ENSG00000238249.2	HMGN2P17	processed_pseudogene	chr1	+
ENSG00000310107.1	ENSG00000310107	lncRNA	chr1	-
ENSG00000232208.2	ENSG00000232208	transcribed_processed_pseudogene	chr1	-
ENSG00000232663.2	ENSG00000232663	processed_pseudogene	chr1	+
ENSG00000310124.1	ENSG00000310124	lncRNA	chr1	+
ENSG00000131686.15	CA6	protein_coding	chr1	+
ENSG00000290109.2	ENSG00000290109	lncRNA	chr1	-
ENSG00000265141.2	RN7SL451P	misc_RNA	chr1	-
ENSG00000197241.4	SLC2A7	protein_coding	chr1	-
ENSG00000142583.18	SLC2A5	protein_coding	chr1	-
ENSG00000252404.1	ENSG00000252404	scaRNA	chr1	+
ENSG00000180758.12	GPR157	protein_coding	chr1	-
ENSG00000228526.9	MIR34AHG	lncRNA	chr1	-
ENSG00000284357.1	MIR34A	miRNA	chr1	-
ENSG00000289914.2	ENSG00000289914	lncRNA	chr1	-
ENSG00000302015.1	ENSG00000302015	lncRNA	chr1	+
ENSG00000234546.6	LNCTAM34A	lncRNA	chr1	+
ENSG00000301983.1	ENSG00000301983	lncRNA	chr1	+
ENSG00000301968.1	ENSG00000301968	lncRNA	chr1	+
ENSG00000049239.13	H6PD	protein_coding	chr1	+
ENSG00000302217.1	ENSG00000302217	lncRNA	chr1	-
ENSG00000171621.14	SPSB1	protein_coding	chr1	+
ENSG00000294252.1	ENSG00000294252	lncRNA	chr1	-
ENSG00000296073.1	ENSG00000296073	lncRNA	chr1	+
ENSG00000296056.1	ENSG00000296056	lncRNA	chr1	-
ENSG00000307568.1	ENSG00000307568	lncRNA	chr1	-
ENSG00000284652.1	ENSG00000284652	lncRNA	chr1	-
ENSG00000284693.3	LINC02606	lncRNA	chr1	-
ENSG00000252956.1	RNA5SP40	rRNA_pseudogene	chr1	-
ENSG00000301013.1	ENSG00000301013	lncRNA	chr1	+
ENSG00000301030.1	ENSG00000301030	lncRNA	chr1	+
ENSG00000306844.1	ENSG00000306844	lncRNA	chr1	-
ENSG00000296249.1	ENSG00000296249	lncRNA	chr1	-
ENSG00000235263.2	ENSG00000235263	lncRNA	chr1	-
